-0.0364,0.0022
-0.0333,0.0017
-0.0357,0.0024
-0.0372,0.0061
-0.0386,0.0013
-0.0349,0.0007
-0.0364,0.0014
-0.0346,0.0012
-0.0358,0.0014
-0.0322,0.0014
-0.0393,0.0007
-0.0319,0.0005
-0.0405,0.0014
-0.0312,0.0143
-0.0364,0.0012
-0.0344,0.0047
-0.0286,0.0005
-0.0397,0.0181
-0.0343,0.0021
-0.0338,0.0054
-0.0397,0.0109
-0.0320,0.0016
-0.0452,0.0008
-0.0373,0.0101
-0.0369,0.0021
-0.0411,0.0007
-0.0408,0.0014
-0.0397,0.0008
-0.0316,0.0024
-0.0353,0.0009
-0.0348,0.0015
-0.0376,0.0007
-0.0415,0.0097
-0.0377,0.0004
-0.0400,0.0013
-0.0405,0.0089
-0.0403,0.0008
-0.0399,0.0005
-0.0400,0.0097
-0.0422,0.0040
-0.0393,0.0027
-0.0417,0.0018
-0.0459,0.0057
-0.0432,0.0006
-0.0396,0.0012
-0.0463,0.0112
-0.0480,0.0035
-0.0555,0.0060
-0.0440,0.0011
-0.0387,0.0007
-0.0444,0.0020
-0.0388,0.0005
-0.0494,0.0013
-0.0400,0.0024
-0.0408,0.0041
-0.0394,0.0009
-0.0404,0.0099
-0.0391,0.0055
-0.0450,0.0008
-0.0416,0.0043
-0.0406,0.0094
-0.0388,0.0023
-0.0440,0.0005
-0.0388,0.0005
-0.0417,0.0005
-0.0426,0.0061
-0.0443,0.0040
-0.0409,0.0017
-0.0382,0.0004
-0.0417,0.0091
-0.0428,0.0005
-0.0424,0.0005
-0.0443,0.0015
-0.0377,0.0064
-0.0473,0.0065
-0.0425,0.0094
-0.0399,0.0023
-0.0380,0.0108
-0.0429,0.0005
-0.0424,0.0005
-0.0375,0.0006
-0.0423,0.0103
-0.0394,0.0005
-0.0375,0.0007
-0.0459,0.0104
-0.0370,0.0217
-0.0475,0.0063
-0.0419,0.0004
-0.0424,0.0006
-0.0423,0.0004
-0.0420,0.0006
-0.0408,0.0005
-0.0383,0.0006
-0.0409,0.0006
-0.0398,0.0008
-0.0433,0.0007
-0.0469,0.0113
-0.0377,0.0004
-0.0328,0.0037
-0.0437,0.0020
-0.0406,0.0003
-0.0450,0.0005
-0.0406,0.0005
-0.0402,0.0005
-0.0402,0.0012
-0.0407,0.0018
-0.0390,0.0096
-0.0397,0.0012
-0.0429,0.0046
-0.0384,0.0042
-0.0433,0.0004
-0.0426,0.0103
-0.0416,0.0004
-0.0421,0.0009
-0.0415,0.0023
-0.0422,0.0014
-0.0416,0.0004
-0.0410,0.0005
-0.0439,0.0039
-0.0406,0.0006
-0.0421,0.0010
-0.0455,0.0019
-0.0424,0.0053
-0.0424,0.0007
-0.0411,0.0144
-0.0406,0.0002
-0.0434,0.0006
-0.0421,0.0126
-0.0423,0.0002
-0.0451,0.0002
-0.0445,0.0003
-0.0441,0.0003
-0.0400,0.0004
-0.0606,0.0079
-0.0453,0.0093
-0.0383,0.0030
-0.0397,0.0043
-0.0408,0.0004
-0.0416,0.0009
-0.0451,0.0008
-0.0427,0.0093
-0.0334,0.0006
-0.0430,0.0074
-0.0463,0.0017
-0.0291,0.0019
-0.0459,0.0009
-0.0443,0.0002
-0.0395,0.0049
-0.0422,0.0052
-0.0275,0.0052
-0.0441,0.0007
-0.0429,0.0006
-0.0432,0.0010
-0.0437,0.0004
-0.0408,0.0006
-0.0454,0.0050
-0.0422,0.0003
-0.0425,0.0017
-0.0431,0.0004
-0.0443,0.0043
-0.0509,0.0007
-0.0425,0.0008
-0.0474,0.0003
-0.0416,0.0037
-0.0417,0.0102
-0.0456,0.0085
