0.0181,0.0001,
0.0308,0.0002,
0.0109,9.5732e-05,
0.0228,8.1902e-05,
0.0096,8.7380e-05,
0.0254,8.5158e-05,
0.0110,0.0002,
0.0217,5.7621e-05,
0.0149,0.0011,
0.0195,4.8873e-05,
0.0160,5.0044e-05,
0.0176,4.4889e-05,
0.0176,0.0005,
0.0211,6.9021e-05,
0.0151,6.2668e-05,
0.0193,0.0010,
0.0182,5.6459e-05,
0.0159,4.8850e-05,
0.0195,0.0004,
0.0199,7.6062e-05,
0.0179,0.0003,
0.0143,0.0001,
0.0198,0.0004,
0.0164,5.0008e-05,
0.0200,0.0004,
0.0166,4.3276e-05,
0.0176,3.7270e-05,
0.0207,8.2603e-05,
0.0180,7.5445e-05,
0.0196,0.0027,
0.0219,8.3390e-05,
0.0174,8.2556e-05,
0.0203,5.6016e-05,
0.0191,0.0004,
0.0197,0.0004,
0.0169,9.8653e-05,
0.0220,0.0054,
0.0119,0.0002,
0.0169,9.0566e-05,
0.0233,7.6964e-05,
0.0189,6.5358e-05,
0.0167,0.0051,
0.0191,0.0003,
0.0149,9.9517e-05,
0.0219,6.0684e-05,
0.0225,5.7240e-05,
0.0146,5.8352e-05,
0.0181,0.0046,
0.0223,0.0050,
0.0168,0.0091,
0.0249,9.1997e-05,
0.0166,0.0023,
0.0142,0.0012,
0.0224,0.0007,
0.0210,0.0006,
0.0154,0.0001,
0.0131,0.0047,
0.0184,0.0001,
0.0150,7.7570e-05,
0.0208,0.0001,
0.0165,4.6202e-05,
0.0161,0.0004,
0.0181,0.0048,
0.0158,0.0002,
0.0175,0.0002,
0.0171,0.0001,
0.0182,7.4440e-05,
0.0182,0.0001,
0.0198,6.0976e-05,
0.0174,0.0003,
0.0164,0.0005,
0.0147,0.0048,
0.0208,0.0001,
0.0184,0.0028,
0.0111,8.5498e-05,
0.0228,0.0002,
0.0179,8.8652e-05,
0.0189,0.0004,
0.0158,0.0045,
0.0191,7.3638e-05,
0.0171,0.0006,
0.0199,5.3353e-05,
0.0131,0.0002,
0.0193,0.0002,
0.0219,0.0011,
0.0157,0.0012,
0.0157,0.0004,
0.0178,9.6699e-05,
0.0160,0.0091,
0.0236,0.0002,
0.0170,8.3005e-05,
0.0149,0.0053,
0.0189,0.0015,
0.0214,0.0051,
0.0151,0.0002,
0.0187,8.7737e-05,
0.0165,0.0003,
0.0167,0.0003,
0.0193,0.0004,
0.0157,7.8700e-05,
0.0183,0.0001,
0.0172,8.7698e-05,
0.0156,0.0002,
0.0195,0.0016,
0.0142,0.0003,
0.0215,0.0024,
0.0188,0.0006,
0.0180,0.0007,
0.0191,0.0054,
0.0178,0.0001,
0.0147,0.0054,
0.0179,0.0009,
0.0163,0.0019,
0.0163,0.0006,
0.0139,8.7592e-05,
0.0147,0.0083,
0.0134,0.0001,
0.0114,0.0092,
0.0139,8.4087e-05,
0.0111,0.0017,
0.0103,0.0005,
0.0143,0.0111,
0.0104,0.0001,
0.0086,0.0001,
0.0091,9.2475e-05,
0.0091,0.0008,
0.0106,0.0003,
0.0107,0.0001,
0.0102,0.0007,
0.0066,0.0001,
0.0101,0.0001,
0.0083,0.0003,
0.0127,0.0007,
0.0089,0.0002,
0.0092,0.0001,
0.0091,0.0019,
0.0092,0.0015,
0.0091,0.0016,
0.0102,0.0003,
0.0093,0.0001,
0.0109,0.0006,
0.0092,0.0001,
0.0089,0.0016,
0.0177,0.0006,
0.0106,0.0055,
0.0104,0.0001,
0.0107,0.0021,
0.0080,0.0086,
0.0112,0.0001,
0.0102,0.0001,
0.0066,0.0001,
0.0101,0.0008,
0.0081,0.0107,
0.0065,0.0002,
0.0107,0.0001,
0.0072,0.0002,
0.0078,0.0002,
0.0086,0.0016,
0.0069,0.0095,
0.0080,0.0003,
0.0074,0.0003,
